date,A01,A21,A22,A23,A24,A41,A42,A43,A44,A45,A46,A47,A61,A62,A63,A99,B01,B02,B03,B04,B05,B06,B07,B08,B09,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B41,B42,B43,B44,B60,B61,B62,B63,B64,B65,B66,B67,B68,B81,B82,B99,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C21,C22,C23,C25,C30,C40,C99,D01,D02,D03,D04,D05,D06,D07,D10,D21,D99,E01,E02,E03,E04,E05,E06,E21,E99,F01,F02,F03,F04,F05,F15,F16,F17,F21,F22,F23,F24,F25,F26,F27,F28,F41,F42,F99,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G16,G21,G99,H01,H02,H03,H04,H05,H99,Y02,Y04
1976-05-04,27,4,1,11,2,4,1,2,2,6,1,22,84,NULL,23,NULL,56,NULL,1,NULL,2,1,3,1,NULL,17,9,26,8,5,7,4,2,39,NULL,7,14,NULL,15,4,1,1,40,4,13,15,9,59,6,1,NULL,NULL,NULL,NULL,32,10,17,16,2,13,194,114,54,28,25,9,1,NULL,9,24,16,15,6,NULL,NULL,7,1,1,7,5,28,NULL,1,14,NULL,6,13,2,17,7,7,18,NULL,14,22,5,9,NULL,3,60,NULL,4,2,14,6,5,1,3,5,6,8,NULL,80,16,45,4,10,10,6,4,9,4,16,1,NULL,7,NULL,98,25,28,25,18,NULL,51,1
1976-05-11,38,2,6,22,5,3,2,1,6,6,1,35,79,4,26,NULL,92,3,2,9,11,1,7,3,NULL,24,12,30,4,9,10,8,2,34,5,7,10,NULL,14,3,2,6,42,2,17,14,8,87,8,4,NULL,NULL,NULL,NULL,42,20,15,20,2,5,166,110,57,31,23,17,1,1,17,12,11,17,5,NULL,NULL,5,6,3,16,8,26,1,1,5,NULL,2,6,2,21,11,5,19,NULL,23,31,1,11,1,6,88,2,4,1,9,9,4,6,6,6,9,7,NULL,87,13,48,7,15,25,6,3,11,4,18,2,NULL,7,NULL,103,30,31,31,19,NULL,66,NULL
1976-05-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1976-05-18,39,1,1,31,10,4,1,2,7,8,NULL,32,88,7,15,NULL,87,6,2,5,8,NULL,6,5,NULL,13,8,19,6,7,12,6,7,37,4,7,11,NULL,19,4,1,5,40,5,8,15,15,47,12,2,NULL,NULL,NULL,NULL,30,10,18,15,1,5,178,105,43,34,16,13,3,1,9,20,16,13,3,NULL,NULL,6,2,5,10,3,34,1,2,9,NULL,9,10,4,15,7,4,26,NULL,20,29,6,19,6,8,70,1,7,2,10,8,6,2,4,5,8,10,NULL,101,36,53,9,17,26,5,7,7,10,21,1,NULL,9,NULL,113,27,31,19,11,NULL,74,NULL
1976-05-25,44,7,5,27,6,2,1,1,4,8,1,25,77,3,15,NULL,80,3,11,4,10,NULL,NULL,6,1,18,11,23,4,9,8,7,6,40,1,3,14,NULL,17,4,NULL,4,38,7,10,10,2,71,12,1,NULL,NULL,1,NULL,26,19,19,11,3,7,184,117,44,32,21,15,NULL,NULL,8,17,16,17,2,NULL,NULL,10,5,2,9,1,37,1,NULL,5,NULL,6,12,7,28,8,3,23,NULL,19,30,3,15,2,8,78,2,11,1,11,12,4,3,6,7,7,6,NULL,75,15,45,4,15,32,10,8,13,6,24,NULL,NULL,12,NULL,128,37,31,36,16,NULL,75,NULL
1976-05-26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1976-06-01,53,NULL,3,24,5,4,NULL,1,4,8,2,30,85,2,23,NULL,88,6,4,3,14,1,3,1,NULL,14,8,22,12,2,7,6,3,38,3,4,7,NULL,23,2,1,6,45,2,15,8,6,58,4,2,1,NULL,3,NULL,38,16,12,11,4,5,174,90,53,25,11,14,NULL,1,6,21,16,15,6,NULL,NULL,11,3,5,8,6,32,2,1,13,NULL,4,12,3,29,3,6,23,NULL,17,28,5,17,NULL,7,78,1,7,NULL,3,15,10,2,1,8,6,11,NULL,123,20,50,9,19,26,5,9,12,8,19,NULL,NULL,8,NULL,116,25,45,37,18,NULL,76,NULL
1976-06-08,40,3,NULL,31,2,2,NULL,4,3,5,1,23,69,2,19,NULL,80,3,3,3,13,1,2,4,NULL,21,12,26,4,5,3,4,1,36,2,1,10,NULL,10,NULL,NULL,6,39,3,10,10,2,60,7,2,NULL,1,NULL,NULL,26,18,18,15,2,5,189,107,48,22,20,18,2,NULL,5,14,24,14,8,NULL,NULL,10,5,7,7,NULL,42,1,2,9,NULL,3,15,3,16,10,5,16,NULL,12,30,5,18,NULL,7,46,2,3,NULL,5,6,3,4,4,2,6,11,NULL,70,19,47,5,14,26,5,5,15,3,15,NULL,NULL,8,NULL,83,29,24,44,21,NULL,68,NULL
1976-06-15,50,3,2,8,3,1,2,3,2,7,1,30,53,4,26,NULL,58,2,NULL,2,6,1,4,NULL,NULL,13,14,32,10,9,6,7,5,27,5,2,10,NULL,14,1,4,4,44,4,19,10,6,65,11,1,NULL,NULL,1,NULL,23,10,6,11,4,4,108,68,42,19,9,10,2,NULL,9,14,12,12,1,NULL,NULL,8,3,6,4,3,21,NULL,1,11,NULL,4,19,4,23,4,4,18,NULL,28,38,2,19,4,7,78,5,5,2,15,10,10,2,3,12,8,4,NULL,87,19,52,8,9,29,8,15,13,9,30,NULL,NULL,9,NULL,123,21,24,40,17,NULL,61,1
1976-06-22,35,1,7,16,7,5,NULL,3,7,11,2,34,69,2,22,NULL,59,6,1,2,12,NULL,1,2,NULL,16,17,23,6,10,11,4,7,29,3,4,5,NULL,17,6,1,4,47,7,22,15,10,70,11,6,NULL,NULL,NULL,NULL,21,17,7,10,3,4,133,71,28,23,10,11,NULL,NULL,7,10,9,8,2,NULL,NULL,9,5,2,5,5,18,NULL,1,5,NULL,13,11,5,28,9,8,16,NULL,26,33,7,13,3,8,87,1,3,2,8,12,6,2,3,7,11,8,NULL,82,17,37,7,7,18,6,6,17,5,13,NULL,NULL,11,NULL,83,30,37,37,20,NULL,79,NULL
